epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,37.7409,0.86736,1.34115,0.9135,0.94742,0.33333,0.88639,0.61046,0.90369,1.78427,0.91333,0.00137544,0.00137544,0.00137544
55,38.2665,0.78866,1.44895,0.85075,0.29167,0.33333,0.34798,0.25454,1.28595,3.82791,1.02921,0.00136994,0.00136994,0.00136994
56,38.8473,1.29369,2.10695,0.87738,0.93958,0.08333,0.11493,0.08483,2.31789,3.38103,1.36636,0.00136444,0.00136444,0.00136444
57,39.4936,0.8539,1.20897,0.85151,0.5,0.08333,0.29166,0.23333,2.27309,4.30533,1.29525,0.00135894,0.00135894,0.00135894
58,40.0746,0.8114,1.24091,0.83783,0.2037,0.75,0.45116,0.3433,1.1736,2.85111,0.98212,0.00135344,0.00135344,0.00135344
59,40.6165,0.70376,1.34055,0.83811,0.74118,0.08333,0.25038,0.19577,0.96404,2.6717,0.94612,0.00134794,0.00134794,0.00134794
60,41.2504,0.78209,1.2671,0.85015,0.1744,0.16667,0.15427,0.10535,1.62506,3.45404,1.11739,0.00134244,0.00134244,0.00134244
61,41.809,0.87289,1.29544,0.90228,0.95227,0.16667,0.2352,0.18939,1.22217,2.90842,0.98939,0.00133693,0.00133693,0.00133693
62,42.5057,0.63944,1.07685,0.80502,0.24351,0.75,0.72377,0.62487,0.80944,2.66094,0.88423,0.00133143,0.00133143,0.00133143
63,43.2685,0.75393,1.0886,0.85776,0.25943,0.5,0.41656,0.27437,1.54701,2.70965,1.01916,0.00132593,0.00132593,0.00132593
64,43.9053,0.83021,1.39225,0.87389,0.55825,0.56411,0.43505,0.33811,1.09831,1.87458,0.94231,0.00132043,0.00132043,0.00132043
65,44.5041,0.77762,1.34726,0.84537,0.44032,0.08333,0.11943,0.09195,1.30277,3.3283,0.97439,0.00131493,0.00131493,0.00131493
66,45.259,0.74958,1.19132,0.90006,0.44348,0.08333,0.12729,0.1139,1.09397,3.93927,0.93879,0.00130943,0.00130943,0.00130943
67,46.0187,0.80456,1.39081,0.86563,0.96676,0.08333,0.14082,0.10611,1.19069,2.44171,0.95773,0.00130393,0.00130393,0.00130393
68,46.691,0.77367,1.2016,0.88334,0.41485,0.25,0.3386,0.2626,0.94996,2.66733,0.91447,0.00129843,0.00129843,0.00129843
69,47.3945,0.81404,1.37582,0.85652,0.40804,0.41667,0.19658,0.15179,1.20163,2.07504,0.94533,0.00129293,0.00129293,0.00129293
70,47.9583,0.86575,1.34598,0.82393,0.36501,0.81231,0.5763,0.45506,0.87542,6.82106,0.92312,0.00128742,0.00128742,0.00128742
71,48.6477,0.91827,1.56113,0.8392,0.49489,0.5,0.21885,0.123,1.67418,47.5594,1.1477,0.00128192,0.00128192,0.00128192
72,49.3659,1.06182,1.8604,0.92819,0.01689,0.5,0.01196,0.00618,2.01696,611.561,1.26873,0.00127642,0.00127642,0.00127642
73,50.1185,0.71939,1.18256,0.83286,0.27831,0.83333,0.48925,0.32675,1.12054,10.0856,0.99595,0.00127092,0.00127092,0.00127092
74,50.8356,0.64416,1.06544,0.83075,0.57914,0.62266,0.50073,0.43619,0.77023,4.01783,0.88629,0.00126542,0.00126542,0.00126542
75,51.3974,0.75953,1.24477,0.87804,0.74473,0.57046,0.59756,0.45944,0.99292,2.00294,0.92121,0.00125992,0.00125992,0.00125992
76,51.9717,0.54478,1.7945,0.61671,0.42622,0.25,0.34265,0.30469,0.84987,2.81946,0.89713,0.00125442,0.00125442,0.00125442
77,52.6247,0.7028,1.15339,0.83801,0.87855,0.4032,0.63752,0.53977,0.7072,1.43927,0.86437,0.00124892,0.00124892,0.00124892
78,53.2016,0.59587,1.27716,0.73694,0.28449,0.66667,0.37339,0.29839,0.87202,4.30339,0.91316,0.00124342,0.00124342,0.00124342
79,53.7748,0.69673,1.1393,0.81767,0.36602,0.66667,0.33472,0.24068,0.9805,3.44589,0.92426,0.00123791,0.00123791,0.00123791
80,54.3774,0.68683,1.02188,0.85455,0.33539,0.66667,0.40944,0.2928,1.04206,2.39467,0.97181,0.00123241,0.00123241,0.00123241
81,55.1235,0.68578,0.98192,0.782,0.38846,0.64976,0.47934,0.38054,0.81227,1.51926,0.89667,0.00122691,0.00122691,0.00122691
82,55.7528,0.74267,0.95183,0.84397,0.51469,0.66667,0.68202,0.56478,0.8802,1.11959,0.91638,0.00122141,0.00122141,0.00122141
83,56.304,0.67763,0.86292,0.80075,0.70379,0.5,0.84375,0.59278,1.26642,1.51208,0.97196,0.00121591,0.00121591,0.00121591
84,56.8847,0.78521,1.04287,0.84451,0.34909,0.55327,0.55606,0.46444,0.83537,1.33531,0.88543,0.00121041,0.00121041,0.00121041
85,57.4684,0.81638,0.92135,0.8192,0.65163,0.5,0.60367,0.49919,0.81217,1.11,0.89385,0.00120491,0.00120491,0.00120491
86,58.0792,0.73738,1.00934,0.84368,0.85219,0.5,0.75939,0.64043,0.78245,1.15941,0.87433,0.00119941,0.00119941,0.00119941
87,58.6307,0.66365,0.86007,0.81258,0.93572,0.48868,0.74925,0.61834,0.78182,1.03441,0.87816,0.00119391,0.00119391,0.00119391
88,59.2505,0.56332,0.82252,0.84223,0.62625,0.75,0.80133,0.6831,0.65706,0.92347,0.86282,0.0011884,0.0011884,0.0011884
89,59.8867,0.69403,1.14823,0.82749,0.90513,0.41667,0.70208,0.57358,0.86227,1.27424,0.88861,0.0011829,0.0011829,0.0011829
90,60.4437,0.6576,0.82811,0.81338,0.63044,0.83333,0.75107,0.59318,0.75158,1.01515,0.87592,0.0011774,0.0011774,0.0011774
91,61.0063,0.72277,1.09043,0.83454,0.21667,0.66667,0.30449,0.20806,0.97965,3.33732,0.91968,0.0011719,0.0011719,0.0011719
92,61.6063,0.71696,1.17799,0.79682,0.45315,0.83333,0.55037,0.44001,0.64554,1.62143,0.86007,0.0011664,0.0011664,0.0011664
93,62.1843,0.70407,1.10583,0.825,0.36859,0.83333,0.46673,0.37325,0.8248,1.40867,0.87461,0.0011609,0.0011609,0.0011609
94,62.7897,0.63234,0.86134,0.85324,0.05556,0.08333,0.10574,0.09517,0.91835,4.23294,0.93295,0.0011554,0.0011554,0.0011554
95,63.3805,0.69498,0.85589,0.84538,0.2,0.16667,0.2055,0.16871,0.9366,4.63312,0.923,0.0011499,0.0011499,0.0011499
96,63.9759,0.73708,1.11812,0.80601,0.125,0.66667,0.29435,0.23383,0.76175,2.68678,0.8655,0.0011444,0.0011444,0.0011444
97,64.6046,0.65837,0.85502,0.80545,0.16667,0.25,0.14857,0.12173,0.84816,4.34257,0.90672,0.00113889,0.00113889,0.00113889
98,65.1626,0.59233,0.75474,0.82325,0.16667,0.08333,0.15222,0.137,0.8602,4.53948,0.91519,0.00113339,0.00113339,0.00113339
99,65.7363,0.94853,0.89402,0.77864,0,0,0,0,0.96103,4.72495,0.93141,0.00112789,0.00112789,0.00112789
100,66.3136,0.51918,0.91956,0.618,0.75,0.33333,0.49999,0.44928,0.83309,4.25096,0.89696,0.00112239,0.00112239,0.00112239
101,66.9734,0.76048,0.82334,0.80247,0.50302,0.83333,0.66637,0.55126,0.77022,1.38266,0.87991,0.00111689,0.00111689,0.00111689
102,67.5228,0.59711,0.81009,0.79261,0.96472,0.57232,0.76554,0.65078,0.78096,0.95567,0.88495,0.00111139,0.00111139,0.00111139
103,68.113,0.49815,0.73814,0.82731,0.76721,0.68028,0.83467,0.74208,0.79874,0.926,0.88038,0.00110589,0.00110589,0.00110589
104,68.7107,0.57878,0.81941,0.83507,0.53662,0.66667,0.71842,0.55309,0.96526,1.29081,0.93426,0.00110039,0.00110039,0.00110039
105,69.3286,0.62641,0.72404,0.84526,0.66496,0.5,0.73038,0.60498,0.75595,1.21825,0.8759,0.00109489,0.00109489,0.00109489
106,69.8747,0.46491,3.7677,0.6155,0.73078,0.83333,0.74586,0.57097,0.86151,1.26296,0.88793,0.00108938,0.00108938,0.00108938
107,70.4469,0.62814,0.76726,0.81837,0.90596,0.5656,0.75925,0.63823,0.75273,0.94093,0.86655,0.00108388,0.00108388,0.00108388
108,71.0411,0.54757,0.68075,0.82098,0.63408,0.72593,0.77927,0.64611,0.7649,1.05243,0.86494,0.00107838,0.00107838,0.00107838
109,71.631,0.59581,0.75889,0.82096,0.40412,0.83333,0.73292,0.62913,0.75105,1.30855,0.87561,0.00107288,0.00107288,0.00107288
110,72.2236,0.60851,0.75604,0.84451,0.93672,0.41667,0.70562,0.6073,0.73502,1.39346,0.87902,0.00106738,0.00106738,0.00106738
111,72.8217,0.8619,0.86206,0.83096,0.55976,0.57412,0.75354,0.66688,0.69153,1.31738,0.87172,0.00106188,0.00106188,0.00106188
112,73.3944,0.65783,0.75822,0.85632,0.87668,0.41667,0.67069,0.58455,0.64539,1.47027,0.8536,0.00105638,0.00105638,0.00105638
113,74.001,0.71231,1.356,0.82631,0.30952,0.58333,0.57821,0.53132,0.70078,3.003,0.87085,0.00105088,0.00105088,0.00105088
114,74.5911,0.60189,0.74668,0.79909,0.5,0.16667,0.33333,0.29999,0.85292,4.88047,0.93163,0.00104538,0.00104538,0.00104538
115,75.1702,0.56601,0.69388,0.82968,0.5,0.16667,0.33333,0.29999,0.82291,4.67178,0.90318,0.00103987,0.00103987,0.00103987
116,75.7545,0.67848,0.81454,0.84121,0.30952,0.58333,0.60654,0.46485,0.77876,3.30112,0.87856,0.00103437,0.00103437,0.00103437
117,76.3922,0.67655,0.90436,0.81934,0.625,0.25,0.40624,0.33228,0.77003,4.35092,0.88586,0.00102887,0.00102887,0.00102887
118,76.9541,0.68946,0.66178,0.79271,0.35417,0.41667,0.29291,0.27311,0.67844,3.9693,0.86029,0.00102337,0.00102337,0.00102337
119,77.7117,0.62171,0.63239,0.81457,0.23333,0.83333,0.4087,0.32966,0.71587,2.61503,0.8644,0.00101787,0.00101787,0.00101787
120,78.4783,0.67629,0.72388,0.79991,0.62633,0.79779,0.67926,0.52051,0.71916,1.38541,0.86102,0.00101237,0.00101237,0.00101237
121,79.055,0.65226,0.62205,0.80238,0.58203,0.79941,0.68738,0.58167,0.62113,1.21265,0.8481,0.00100687,0.00100687,0.00100687
122,79.6581,0.60088,0.65735,0.76397,0.58374,0.75899,0.6032,0.46551,0.66707,1.54246,0.86332,0.00100137,0.00100137,0.00100137
123,80.2364,0.61492,0.62789,0.80711,0.34091,0.83333,0.56435,0.44128,0.63093,2.59477,0.8622,0.000995866,0.000995866,0.000995866
124,80.8391,0.53515,0.72956,0.77794,0.45833,0.83333,0.58104,0.49226,0.64165,2.89858,0.86298,0.000990365,0.000990365,0.000990365
125,81.3926,0.62299,0.67306,0.81069,0.37013,0.75,0.51677,0.42674,0.66756,3.09042,0.86072,0.000984864,0.000984864,0.000984864
126,81.9919,0.66261,0.7215,0.84123,0.45,0.5,0.41707,0.34548,0.68492,3.51009,0.8588,0.000979362,0.000979362,0.000979362
127,82.584,0.6735,0.60301,0.80728,0.41667,0.5,0.41146,0.37643,0.73732,3.51748,0.86907,0.000973861,0.000973861,0.000973861
128,83.1831,0.69424,0.63955,0.81351,0.62024,0.7386,0.6255,0.47814,0.73362,1.87786,0.86127,0.00096836,0.00096836,0.00096836
129,83.9091,0.57265,0.59076,0.82766,0.42222,0.66667,0.65356,0.55473,0.64634,3.10513,0.8649,0.000962859,0.000962859,0.000962859
130,84.6373,0.66532,0.72909,0.84731,0.14286,0.16667,0.17238,0.15514,0.73324,4.951,0.90082,0.000957358,0.000957358,0.000957358
131,85.3405,0.69618,0.59672,0.81675,0.33333,0.16667,0.24972,0.22475,0.74711,4.99072,0.88067,0.000951857,0.000951857,0.000951857
132,86.0626,0.64424,0.85447,0.78241,0.5,0.15738,0.26331,0.23155,0.7511,4.16417,0.86821,0.000946356,0.000946356,0.000946356
133,86.6394,0.4401,3.30686,0.61274,0.59626,0.77888,0.62096,0.50315,0.71696,1.3706,0.86239,0.000940855,0.000940855,0.000940855
134,87.2234,0.55826,0.67891,0.76977,0.375,0.83333,0.53979,0.41952,0.72996,2.49193,0.87357,0.000935354,0.000935354,0.000935354
135,87.8314,0.62885,1.038,0.78752,0.27143,0.83333,0.46103,0.37744,0.63489,2.42276,0.85473,0.000929853,0.000929853,0.000929853
136,88.4309,0.68909,0.71146,0.81561,0.47353,0.75,0.67543,0.53948,0.65547,1.28043,0.85319,0.000924352,0.000924352,0.000924352
137,89.147,0.63479,0.95353,0.79894,0.5008,0.83333,0.77125,0.63394,0.69235,1.15934,0.86627,0.00091885,0.00091885,0.00091885
138,89.7319,0.56231,0.70317,0.80644,0.50501,0.83333,0.73667,0.62413,0.65403,1.04304,0.85408,0.000913349,0.000913349,0.000913349
139,90.3142,0.49825,0.62186,0.83013,0.44906,0.41667,0.639,0.54458,0.66903,2.39257,0.84897,0.000907848,0.000907848,0.000907848
140,90.9033,0.58409,0.75163,0.8008,0.82468,0.45135,0.7475,0.58693,0.70731,1.34825,0.85161,0.000902347,0.000902347,0.000902347
141,91.4908,0.60028,0.66937,0.84554,0.93248,0.5,0.786,0.66455,0.66676,0.98559,0.85053,0.000896846,0.000896846,0.000896846
142,92.1286,0.56819,0.66433,0.81921,0.50018,0.73448,0.70693,0.59492,0.63336,1.08919,0.84941,0.000891345,0.000891345,0.000891345
143,92.6983,0.67924,0.93274,0.8328,0.44636,0.72165,0.59369,0.48724,0.69922,1.80759,0.86273,0.000885844,0.000885844,0.000885844
144,93.2639,0.57252,0.72465,0.81138,0.33333,0.83333,0.45652,0.36205,0.75096,2.54555,0.87929,0.000880343,0.000880343,0.000880343
145,93.8774,0.60378,0.59824,0.81929,0.46332,0.64393,0.54197,0.42223,0.72215,1.59849,0.87773,0.000874842,0.000874842,0.000874842
146,94.4644,0.58872,0.77729,0.82379,0.39091,0.83333,0.52518,0.41082,0.72229,2.01209,0.88446,0.00086934,0.00086934,0.00086934
147,95.051,0.60982,0.55277,0.82025,0.25481,0.75,0.38804,0.32759,0.69235,2.49107,0.8724,0.000863839,0.000863839,0.000863839
148,95.6307,0.56449,0.6441,0.80939,0.41741,0.49946,0.39367,0.33424,0.64731,2.32519,0.86496,0.000858338,0.000858338,0.000858338
149,96.26,0.61676,0.61259,0.78637,0.24476,0.66667,0.35026,0.27551,0.63456,3.02374,0.86647,0.000852837,0.000852837,0.000852837
150,96.8334,0.59262,0.57877,0.84501,0.42484,0.5,0.53757,0.44474,0.5894,2.09503,0.85164,0.000847336,0.000847336,0.000847336
151,97.3916,0.67502,0.75686,0.7538,0.57538,0.57962,0.68849,0.57673,0.5837,1.38664,0.84709,0.000841835,0.000841835,0.000841835
152,97.9725,0.59315,0.59697,0.83577,0.46119,0.66111,0.67736,0.56451,0.66605,1.44969,0.8547,0.000836334,0.000836334,0.000836334
153,98.577,0.6917,0.71579,0.81359,0.65367,0.66667,0.68935,0.592,0.61642,1.35182,0.84187,0.000830833,0.000830833,0.000830833
154,99.1894,0.54304,0.65041,0.79128,0.40341,0.75,0.45967,0.39111,0.66538,3.02022,0.85486,0.000825332,0.000825332,0.000825332
155,99.8188,0.54395,0.60163,0.80623,0.33333,0.16667,0.24972,0.22475,0.67889,4.33574,0.85858,0.000819831,0.000819831,0.000819831
156,100.415,0.59169,0.85958,0.79935,0.48571,0.66667,0.59582,0.52104,0.64097,3.07766,0.85694,0.000814329,0.000814329,0.000814329
157,100.966,0.55199,0.68854,0.82625,0.4375,1,0.77288,0.63327,0.69608,2.38686,0.86118,0.000808828,0.000808828,0.000808828
158,101.603,0.50132,0.51423,0.82638,0.44286,0.83333,0.76011,0.63246,0.64484,2.15772,0.8563,0.000803327,0.000803327,0.000803327
159,102.132,0.56736,0.6716,0.79513,0.41667,0.83333,0.72145,0.60243,0.61396,2.22355,0.85709,0.000797826,0.000797826,0.000797826
160,102.699,0.54103,0.56781,0.80691,0.81614,0.47214,0.7408,0.60056,0.6413,1.92358,0.86513,0.000792325,0.000792325,0.000792325
161,103.355,0.47338,0.48545,0.77326,0.51931,0.59858,0.69249,0.56335,0.64763,1.81547,0.8549,0.000786824,0.000786824,0.000786824
162,103.946,0.52358,0.52828,0.76052,0.52976,0.59242,0.60086,0.49116,0.67594,1.78755,0.85037,0.000781323,0.000781323,0.000781323
163,104.492,0.53493,0.92471,0.79461,0.56513,0.83333,0.70024,0.54321,0.67837,1.48428,0.85555,0.000775822,0.000775822,0.000775822
164,105.08,0.51079,0.55823,0.77392,0.65117,0.66667,0.72974,0.60137,0.68253,0.85013,0.85399,0.000770321,0.000770321,0.000770321
165,105.734,0.54152,0.58354,0.82864,0.48589,0.83333,0.77125,0.65586,0.57558,0.98016,0.83145,0.00076482,0.00076482,0.00076482
166,106.285,0.57026,0.55642,0.77982,0.4,1,0.76521,0.64748,0.56946,2.1394,0.84027,0.000759318,0.000759318,0.000759318
167,106.918,0.52066,0.60216,0.78877,0.58333,0.66667,0.67984,0.53744,0.57065,3.5031,0.85013,0.000753817,0.000753817,0.000753817
168,107.457,0.61408,0.60316,0.80074,0.5,0.83333,0.7202,0.5705,0.59066,2.45116,0.84151,0.000748316,0.000748316,0.000748316
169,108.062,0.54667,0.6214,0.81176,0.44444,0.83333,0.67941,0.60237,0.53078,1.98845,0.8339,0.000742815,0.000742815,0.000742815
